日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2023-05-03,4.139586,3.5199036,6.5357928,8.264754,2.9703672,2.2929804,1.1091168,1.7870544,1.0223172,1.2203136
2023-05-04,2.4090048,2.295864,3.8535912,4.1286348,1.9611396,1.5782364,0.6978636,1.0364112,0.671328,0.9275472
2023-05-05,2.0728224,1.9852128,2.5669224,2.7301536,1.725624,1.3750236,0.5110776,0.817614,0.4590756,0.7328232
2023-05-06,2.3766372,1.9393668,2.6096256,2.713986,1.6115112,1.3253544,0.4851576,0.906066,0.4209408,0.721224
2024-01-23,1.1017944,1.5678036,2.4184008,1.9901052,1.3133664,1.1241828,0.5360904,0.6422976,0.3881196,0.6877872
2024-01-24,1.140804,1.6342236,2.4158412,1.9500264,1.386072,1.1492928,0.5445144,0.6592752,0.4928688,0.7041492
2024-01-25,1.1737224,1.741662,2.4815484,1.9829772,1.5081876,1.2257892,0.5936652,0.739368,0.537354,0.7434828
2024-01-26,1.332288,1.9868328,2.7136296,2.224746,1.7808984,1.4602032,0.668574,0.9130968,0.6332256,0.8028396
2024-01-27,1.5416244,2.2288608,2.7541296,2.1945816,2.1135492,1.619514,0.7452324,1.2374208,0.834462,0.982044
2024-01-28,1.433376,2.2079628,2.7156708,2.3637096,2.0898648,1.5354684,0.6822468,0.993222,0.7925364,0.9233676
2024-01-29,1.4005224,2.273184,2.8303344,2.3594328,2.1560256,1.6490304,0.7339572,0.9749484,0.814698,0.8409096
2024-01-30,1.3356252,2.3583636,2.6588088,2.1975948,2.2663476,1.9578996,0.7471764,1.0259784,0.816966,0.8342352
2024-01-31,1.3182912,2.4574428,2.6586468,2.0469672,2.3615388,1.992114,0.7318512,0.9578412,0.864918,0.8486532
2024-02-01,1.1297556,2.1365208,2.8545372,2.26071,1.8575892,1.4934132,0.7846956,0.9423216,0.9147492,0.9721296
2024-02-02,1.2288996,2.2752576,2.68677,2.03553,1.5894468,1.358694,0.741636,0.8374104,1.0997856,1.037772
2024-02-03,1.305072,2.291976,2.9048868,2.2150908,1.3667616,1.2711816,0.6568776,0.838512,0.92016,1.1374668
2024-02-04,1.111806,2.1263472,2.709774,2.1497724,1.4734872,1.2737736,0.806922,1.0286028,0.8383176,1.1605032
2024-02-05,0.9111528,1.9246572,2.7588924,2.1995064,1.7670312,1.5328116,1.0106532,1.20771,0.902826,1.2797676
2024-02-06,1.3059144,2.9979396,2.821878,2.222316,2.540808,2.0182284,1.066932,1.458,0.849528,1.3966992
2024-02-07,1.468692,3.4405236,2.7500796,2.2654404,2.8421604,2.262006,1.1513016,1.7527752,0.8095788,1.36728
2024-02-08,1.465614,3.2755428,2.3910552,2.0883096,2.9261412,2.309634,1.19475,2.11248,0.723492,1.337472
2024-02-09,1.2111768,2.6093664,1.8470592,1.545156,2.431782,2.1774744,1.0874088,1.9776636,0.5290272,1.3254192
2024-02-10,1.1138148,1.8721692,1.8101232,1.4167548,3.6459072,1.3931676,0.638928,1.5322608,0.5846256,1.6784496
2024-02-11,2.09304,3.939192,3.6316836,3.343194,4.7326356,2.7093852,0.9056772,2.015928,1.0115604,2.264274
2024-02-12,2.6122176,4.0908564,4.5892332,4.2004008,4.9006296,2.54745,0.9380772,2.016738,1.6018236,2.7869184
2024-02-13,3.0578472,3.7306008,4.686174,4.4856504,4.9980888,2.5086024,1.091232,2.0357892,1.587276,2.383992
2024-02-14,3.122226,3.6995292,4.8600324,4.7182824,4.3020396,2.324214,1.0205028,1.959552,1.5865956,2.161728
2024-02-15,2.8799388,3.3517152,5.8453812,5.4221076,3.6641808,2.2996872,1.1056176,2.0191356,1.373922,1.860894
2024-02-16,2.7141156,2.7702,5.0918544,4.8148668,3.296376,1.9950948,0.9403128,1.775682,1.2658032,1.4943852
2024-02-17,2.2433436,2.4825204,4.660416,4.453218,2.817018,1.8146592,0.9072,1.4711868,1.1659788,1.3103208
2024-02-18,1.6432956,1.9903644,3.673674,3.3216804,2.1463056,1.4579028,0.725598,1.0323288,1.0407528,1.1227248
2024-02-19,1.4074236,1.7952516,2.9187216,2.442474,1.6362972,1.2384576,0.6563916,0.8692272,0.9030204,1.0785312
2024-02-20,1.1394108,1.4693076,2.9686824,2.5385724,1.1290104,0.9615672,0.6730128,0.8169984,0.720738,1.0253628
2024-02-21,0.6338736,0.853254,2.665872,2.3910228,0.6712632,0.5895828,0.5015196,0.5696568,0.5396868,0.9674964
2024-02-22,0.7840152,0.931014,2.4870564,2.3273568,0.786348,0.8206272,0.4766364,0.6315408,0.4638384,0.9332496
2024-02-23,1.2847248,1.5638184,2.3740128,2.3047092,1.2859236,1.1864556,0.4131648,0.6283008,0.4308228,0.967302
2024-02-24,1.5348852,1.584684,2.1031812,2.0754792,2.1383676,1.3785228,0.4961412,1.0621692,0.4645836,1.2836556
2024-02-25,2.3045472,2.3869404,4.4146944,4.4434332,2.489454,1.5966396,0.5659308,1.0352448,0.9066816,1.2663216
2024-02-26,1.6632216,2.0822832,3.6293184,3.031668,1.5855264,1.559736,0.5721192,0.809514,0.6027372,1.1804616
2024-02-27,1.4040216,1.7247492,2.940138,2.2828068,1.5463548,1.4467896,0.5091336,0.6835428,0.5484348,1.1453076
2024-02-28,1.3090572,1.670868,2.6246916,2.0068884,1.4310108,1.2090708,0.4298832,0.6364332,0.4648752,1.1444652
2024-02-29,1.3012488,1.6375284,2.5447284,2.0119752,1.3079232,1.1128752,0.3693276,0.5728968,0.3819636,0.947538
2024-03-01,1.4656788,1.853604,2.6284176,2.2698468,1.4323068,1.194264,0.4392792,0.688014,0.431082,0.9872604
2024-03-02,1.787994,2.0941092,2.967678,2.519262,2.264274,1.4098212,0.5670972,0.8593776,0.5137344,1.1201328
2024-03-03,1.6382412,1.9660644,2.8199016,2.5915464,1.8402228,1.2207024,0.5178816,0.7004556,0.438858,0.8714304
2024-03-04,1.3754772,1.7726688,2.29392,2.1418668,1.3697424,1.1408688,0.4415472,0.6963408,0.378756,0.79866
2024-03-05,1.1430072,1.511298,1.8875268,1.7841708,1.2232944,1.0252008,0.4016952,0.5970348,0.3134052,0.7468848
